MAC,"China, Macao Special Administrative Region",Asia,2019,74,100,21,44,35,100,0,0,100,0,0,-2,-2,-2,-1,-1,-1,100,0,0,100,0,0,100,0,0,100,0,0,-2,-2,-2,-1,-1,-1,100,0,0,100,0,0,100,0,0,100,0,0,-2,-2,-2,-1,-1,-1,100,0,0,100,0,0
COL,Colombia,South America,2019,10731,81,20,35,45,-1,-1,26,-1,-1,6,-1,-1,50,-1,-1,-1,-1,-1,26,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
COM,Comoros,Africa,2019,324,29,22,39,39,-1,-1,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,89,-1,-1,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
COG,Congo,Africa,2019,2146,67,22,40,38,-1,-1,56,-1,-1,-1,-1,-1,-1,-1,-1,44,-1,-1,60,-1,-1,32,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,40,-1,-1,40,-1,-1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
COK,Cook Islands,Oceania,2019,4,75,12,41,47,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
CRI,Costa Rica,North America,2019,920,80,15,46,39,84,5,11,-1,-1,19,-1,-1,3,-1,-1,2,86,0,13,76,18,6,75,22,3,78,19,3,89,8,3,97,1,2,71,26,3,89,8,3,78,0,22,-1,-1,18,-1,-1,10,-1,-1,6,75,0,25,85,3,12
CUB,Cuba,North America,2019,1844,77,19,40,42,100,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
CIV,CÙte díIvoire,Africa,2019,10267,51,21,39,40,-1,-1,50,-1,-1,32,-1,-1,71,-1,-1,40,-1,-1,56,-1,-1,14,-1,-1,50,-1,-1,42,-1,-1,64,-1,-1,50,-1,-1,53,-1,-1,6,-1,-1,73,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,76,-1,-1,-1
COD,Democratic Republic of the Congo,Africa,2019,34758,45,24,42,34,-1,-1,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51,-1,-1,57,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DNK,Denmark,Europe,2019,1038,88,16,44,39,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
DJI,Djibouti,Africa,2019,257,78,16,35,49,-1,-1,14,-1,-1,5,-1,-1,19,-1,-1,-1,-1,-1,13,-1,-1,24,-1,-1,8,-1,-1,10,-1,-1,25,-1,-1,-1,-1,-1,6,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DMA,Dominica,North America,2019,12,71,11,50,39,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
DOM,Dominican Republic,North America,2019,2890,82,20,40,40,-1,-1,10,-1,-1,10,-1,-1,12,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ECU,Ecuador,South America,2019,4725,64,21,40,40,87,7,6,93,2,5,81,11,8,93,0,6,87,6,7,96,0,4,80,2,19,87,0,12,73,2,26,87,0,12,80,1,19,91,0,9,-1,-1,23,-1,-1,14,-1,-1,31,-1,-1,11,-1,-1,22,-1,-1,7
EGY,Egypt,Africa,2019,27387,43,16,46,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
SLV,El Salvador,North America,2019,1722,73,18,40,41,82,14,5,-1,-1,3,-1,-1,4,-1,-1,6,80,15,5,84,12,4,87,5,7,92,4,3,85,6,10,87,5,8,87,5,8,92,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
GNQ,Equatorial Guinea,Africa,2019,416,73,23,43,35,-1,-1,72,-1,-1,-1,-1,-1,-1,-1,-1,74,-1,-1,74,-1,-1,49,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,30,-1,-1,15,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ERI,Eritrea,Africa,2019,1302,41,17,39,44,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,59,-1,-1,35,-1,-1,20,33,21,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,17,57,46,25,29,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,8,-1,-1
EST,Estonia,Europe,2019,229,69,27,40,33,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
SWZ,Eswatini,Africa,2019,429,24,21,48,31,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,9,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ETH,Ethiopia,Africa,2019,41527,21,22,41,37,15,8,76,-1,-1,-1,37,13,50,-1,-1,-1,15,6,80,22,31,47,40,20,39,-1,-1,-1,23,54,23,-1,-1,-1,39,21,40,61,11,28,5,15,80,-1,-1,-1,1,2,97,-1,-1,-1,5,14,81,8,25,68
FJI,Fiji,Oceania,2019,266,57,20,39,40,88,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,76,14,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61,27,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
FIN,Finland,Europe,2019,964,85,25,39,37,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
